ID_Contenedor,Tipo_Contenedor,Largo_Cont_m,Ancho_Cont_m,Alto_Cont_m,Capacidad_Total_m3,Grupo_Compatibilidad,Tipo_Mercancia,Producto,ID_Producto,Volumen_Ocupado_m3,Peso_Toneladas,Puerto_Destino,Prioridad_Descarga,Precio_por_cm3_USD,Costo_Total_USD,Porcentaje_Ocupacion
C002678,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL2275,1.58,0.403,Rotterdam,Alta,1.45,52940789.39,2.72
C004571,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA0907,1.23,0.292,Shanghai,Baja,1.45,72135263.45,2.12
C026855,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA0467,2.03,0.49,Rotterdam,Alta,1.45,49153968.91,3.5
C026520,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL4059,0.85,0.205,Miami,Alta,1.45,55071602.37,1.47
C004874,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC1239,1.23,0.297,Rotterdam,Alta,0.85,17008466.59,3.7
C040594,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA6352,1.42,0.367,Rotterdam,Alta,1.45,68141973.0,2.45
C013403,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL8964,1.64,0.413,Miami,Alta,1.45,74934569.52,2.83
C029003,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP6294,2.46,0.601,Shanghai,Alta,1.45,61061701.24,4.24
C047695,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC8314,1.0,0.232,Shanghai,Baja,0.85,18321047.6,3.01
C002994,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA9684,1.79,0.405,Miami,Alta,1.45,68500901.88,3.09
C015182,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA5265,1.98,0.467,Los Ángeles,Media,1.45,64369375.07,3.41
C028429,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN8789,0.62,0.143,Rotterdam,Media,1.45,66277020.51,1.07
C009239,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA9187,2.02,0.534,Busan,Media,1.45,75362395.27,3.48
C006978,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC1901,0.93,0.214,Busan,Media,0.85,20450292.5,2.8
C029289,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL2841,0.66,0.172,Rotterdam,Alta,1.45,51237846.26,1.14
C023009,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP5919,2.87,0.701,Miami,Alta,1.45,71006000.17,4.95
C022927,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL7215,2.91,0.665,Los Ángeles,Media,1.45,49478952.72,5.02
C026076,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA8662,2.52,0.669,Busan,Media,1.45,68742596.57,4.34
C013357,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA4961,1.26,0.32,Los Ángeles,Media,1.45,72365599.93,2.17
C047289,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA9532,0.74,0.175,Los Ángeles,Alta,1.45,58451284.82,1.28
C010947,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI1143,2.21,0.596,Shanghai,Media,0.85,21194487.88,6.66
C000012,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN0158,1.6,0.364,Rotterdam,Alta,1.45,56738409.88,2.76
C010194,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL9277,0.81,0.19,Los Ángeles,Alta,1.45,59699175.9,1.4
C006394,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA4394,1.74,0.457,Miami,Alta,1.45,61037005.1,3.0
C049321,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA2520,0.59,0.154,Rotterdam,Alta,1.45,63260734.33,1.02
C004885,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA9518,2.77,0.663,Valparaíso,Media,1.45,62436213.62,4.78
C040583,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL7473,1.15,0.262,Valparaíso,Media,1.45,73874269.37,1.98
C046947,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP0104,2.16,0.579,Valparaíso,Alta,1.45,74138779.6,3.72
C047090,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN4056,1.28,0.308,Shanghai,Media,1.45,73839334.33,2.21
C013840,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA7689,1.8,0.423,Rotterdam,Alta,1.45,66507057.55,3.1
C009633,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI8595,1.87,0.469,Los Ángeles,Media,0.85,21354830.89,5.63
C014127,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN6322,0.96,0.26,Miami,Alta,1.45,74200565.28,1.66
C047228,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA1701,2.92,0.663,Rotterdam,Alta,1.45,57316891.72,5.03
C038033,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA0806,2.44,0.642,Busan,Baja,1.45,73548200.87,4.21
C040707,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA5442,2.85,0.723,Busan,Baja,1.45,66277053.43,4.91
C021870,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA2097,2.74,0.675,Rotterdam,Baja,1.45,64160959.33,4.72
C030149,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN5512,1.99,0.522,Shanghai,Media,1.45,62904795.26,3.43
C018186,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN7690,2.8,0.765,Shanghai,Media,1.45,72576966.68,4.83
C000951,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL8815,0.72,0.17,Shanghai,Baja,1.45,70430825.03,1.24
C046501,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL2434,0.99,0.23,Shanghai,Alta,1.45,72204059.27,1.71
C000286,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA5162,0.61,0.165,Busan,Alta,1.45,47439460.25,1.05
C025786,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC8046,1.31,0.339,Shanghai,Media,0.85,19879482.55,3.95
C045588,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP1899,1.47,0.363,Rotterdam,Alta,1.45,60114191.12,2.53
C046556,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA0885,1.18,0.299,Valparaíso,Alta,1.45,61201764.16,2.03
C048567,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL8857,2.57,0.674,Shanghai,Media,1.45,61781030.95,4.43
C013080,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL5108,1.39,0.366,Valparaíso,Media,1.45,57435457.42,2.4
C043008,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN1447,1.2,0.325,Shanghai,Media,1.45,58957290.24,2.07
C048247,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA2029,1.86,0.458,Shanghai,Baja,1.45,51902472.85,3.21
C029473,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL6773,0.85,0.204,Miami,Alta,1.45,68230034.96,1.47
C037326,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA1661,2.51,0.645,Los Ángeles,Alta,1.45,72378214.79,4.33
C024379,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP6356,0.69,0.17,Miami,Alta,1.45,64101816.55,1.19
C040862,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI5508,2.97,0.757,Miami,Media,0.85,16688363.23,8.95
C044873,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL2166,2.43,0.598,Valparaíso,Baja,1.45,54858983.28,4.19
C014385,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC9570,1.0,0.233,Busan,Media,0.85,21922341.37,3.01
C046891,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC6244,0.51,0.127,Shanghai,Media,0.85,16940748.9,1.54
C038237,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN3635,2.54,0.659,Rotterdam,Baja,1.45,63223817.12,4.38
C001443,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL7251,2.27,0.601,Los Ángeles,Media,1.45,56143275.85,3.91
C005465,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA0349,2.32,0.579,Rotterdam,Baja,1.45,68732844.89,4.0
C003335,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA4752,2.43,0.567,Valparaíso,Media,1.45,69168080.28,4.19
C041391,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP8819,0.69,0.17,Los Ángeles,Media,1.45,60779708.41,1.19
C026211,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA2972,1.4,0.37,Shanghai,Media,1.45,58491497.24,2.41
C035177,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL4800,0.79,0.194,Valparaíso,Media,1.45,70983942.93,1.36
C015685,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL9126,2.66,0.691,Shanghai,Media,1.45,51563404.82,4.59
C027472,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA7397,2.06,0.516,Shanghai,Media,1.45,66321675.66,3.55
C038651,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL9675,1.33,0.315,Shanghai,Media,1.45,60568460.48,2.29
C048588,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA1548,0.66,0.175,Rotterdam,Alta,1.45,48564908.32,1.14
C001335,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL1939,1.28,0.293,Valparaíso,Media,1.45,77050201.33,2.21
C032985,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN7402,1.31,0.329,Los Ángeles,Media,1.45,51418917.36,2.26
C044678,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA3757,2.32,0.546,Rotterdam,Alta,1.45,57609109.97,4.0
C047619,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI4989,2.09,0.477,Los Ángeles,Baja,0.85,19414030.95,6.3
C013349,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI4475,2.72,0.68,Miami,Alta,0.85,15561210.71,8.19
C001070,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA3432,1.68,0.42,Shanghai,Alta,1.45,58320646.04,2.9
C022019,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA5668,0.8,0.208,Valparaíso,Media,1.45,63291048.59,1.38
C022846,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL5239,2.28,0.598,Shanghai,Baja,1.45,53785920.7,3.93
C006734,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP3912,2.4,0.627,Los Ángeles,Media,1.45,56633478.68,4.14
C042284,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN2073,1.9,0.466,Shanghai,Media,1.45,70611013.27,3.28
C017856,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN8333,2.43,0.624,Valparaíso,Media,1.45,68358905.44,4.19
C043618,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP2921,1.73,0.439,Shanghai,Media,1.45,58030478.99,2.98
C048236,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN6186,1.81,0.445,Shanghai,Alta,1.45,74062531.26,3.12
C042452,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN3278,1.57,0.4,Rotterdam,Alta,1.45,75969510.73,2.71
C007602,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA9505,0.56,0.153,Valparaíso,Media,1.45,71987283.05,0.97
C028498,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL0134,0.77,0.181,Valparaíso,Baja,1.45,70801131.4,1.33
C021838,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA3817,0.58,0.157,Los Ángeles,Media,1.45,47586856.0,1.0
C026886,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA6737,2.09,0.476,Los Ángeles,Alta,1.45,61994424.89,3.6
C021530,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN0844,1.29,0.31,Los Ángeles,Media,1.45,58878969.28,2.22
C017324,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC6848,1.77,0.424,Miami,Media,0.85,22780145.29,5.33
C015290,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA9360,2.77,0.71,Busan,Baja,1.45,51897506.12,4.78
C016678,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA5789,1.12,0.259,Shanghai,Media,1.45,52846005.03,1.93
C000912,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA6569,1.53,0.412,Rotterdam,Alta,1.45,72677892.19,2.64
C023891,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA4517,2.39,0.637,Valparaíso,Alta,1.45,57759528.17,4.12
C002457,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA2752,1.07,0.276,Valparaíso,Baja,1.45,54094896.49,1.84
C004462,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC1746,0.69,0.171,Shanghai,Media,0.85,23605610.68,2.08
C027163,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP2713,1.22,0.331,Rotterdam,Alta,1.45,58912382.74,2.1
C022035,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL7639,0.9,0.24,Shanghai,Media,1.45,57585162.37,1.55
C046559,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP9476,2.82,0.705,Shanghai,Media,1.45,72852670.5,4.86
C030621,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL3563,2.52,0.655,Shanghai,Media,1.45,50909291.28,4.34
C024786,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL2199,2.08,0.527,Miami,Alta,1.45,63529899.03,3.59
C007220,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA3635,2.68,0.682,Rotterdam,Alta,1.45,47912665.66,4.62
C022642,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP8312,2.51,0.606,Los Ángeles,Media,1.45,56834939.99,4.33
C024048,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP7953,0.97,0.241,Rotterdam,Alta,1.45,61593436.24,1.67
C002831,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA5652,2.73,0.625,Valparaíso,Media,1.45,54210037.63,4.71
C035658,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA3059,1.85,0.449,Valparaíso,Media,1.45,70298372.19,3.19
C013594,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA7604,2.52,0.655,Los Ángeles,Alta,1.45,65925592.48,4.34
C032938,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA0677,2.74,0.747,Valparaíso,Media,1.45,48002553.46,4.72
C004325,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN1066,1.3,0.355,Miami,Alta,1.45,58462468.21,2.24
C036032,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA7686,0.78,0.197,Los Ángeles,Media,1.45,50138668.97,1.34
C042567,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP7953,1.07,0.273,Rotterdam,Alta,1.45,70812242.0,1.84
C012850,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA4054,1.57,0.368,Busan,Media,1.45,76924140.67,2.71
C042104,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL1714,2.55,0.662,Shanghai,Alta,1.45,75411830.5,4.4
C023209,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP5031,2.65,0.606,Los Ángeles,Media,1.45,65602137.05,4.57
C022710,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN1342,0.52,0.124,Miami,Media,1.45,52470350.02,0.9
C022793,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA1215,1.78,0.46,Busan,Alta,1.45,49616286.68,3.07
C002313,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA6049,1.54,0.37,Shanghai,Media,1.45,68506038.88,2.66
C045104,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI6980,1.06,0.241,Rotterdam,Alta,0.85,16898393.18,3.19
C009869,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL8911,0.8,0.213,Shanghai,Baja,1.45,48524456.51,1.38
C038244,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN1708,1.34,0.322,Los Ángeles,Baja,1.45,75818813.94,2.31
C011383,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN2293,2.86,0.653,Valparaíso,Media,1.45,73661521.39,4.93
C014834,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC4763,1.31,0.3,Shanghai,Alta,0.85,16180006.34,3.95
C001220,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA9662,1.8,0.428,Miami,Alta,1.45,61229662.98,3.1
C033719,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL7704,2.26,0.529,Shanghai,Media,1.45,53647150.01,3.9
C016289,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP0347,1.41,0.372,Shanghai,Media,1.45,62991746.07,2.43
C021914,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL0188,2.93,0.706,Shanghai,Media,1.45,70680531.2,5.05
C032693,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI8642,2.91,0.772,Rotterdam,Alta,0.85,20835944.72,8.77
C028665,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL4741,1.13,0.264,Shanghai,Media,1.45,48096327.7,1.95
C029753,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN7450,1.74,0.434,Busan,Alta,1.45,58503883.81,3.0
C004262,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI5736,1.25,0.324,Shanghai,Alta,0.85,18311795.79,3.77
C049440,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP4632,1.21,0.312,Valparaíso,Alta,1.45,69303923.66,2.09
C004365,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA3007,0.59,0.15,Valparaíso,Media,1.45,54881178.13,1.02
